epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,200.773,1.75025,1.62272,1.35788,0.5931,0.44412,0.48642,0.2606,1.65919,1.8904,1.48187,0.000665663,0.000665663,0.000665663
2,391.381,1.81748,1.47721,1.41101,0.71677,0.64844,0.68635,0.37767,1.42743,1.37607,1.30558,0.00128836,0.00128836,0.00128836
3,585.317,1.74449,1.3989,1.37906,0.65218,0.66211,0.64375,0.3752,1.40589,1.32726,1.25796,0.00186706,0.00186706,0.00186706
4,777.906,1.66609,1.28706,1.32058,0.85255,0.75,0.8034,0.49811,1.20416,1.02919,1.17415,0.001802,0.001802,0.001802
5,973.305,1.64926,1.2263,1.30694,0.78413,0.73242,0.78312,0.49251,1.20567,1.07157,1.20006,0.001736,0.001736,0.001736
6,1169.83,1.58556,1.12612,1.27088,0.86057,0.74609,0.81056,0.53922,1.12955,0.91804,1.16468,0.00167,0.00167,0.00167
7,1365.96,1.56627,1.06832,1.26891,0.91505,0.75781,0.83348,0.55362,1.08625,0.89288,1.14787,0.001604,0.001604,0.001604
8,1563.32,1.53188,1.04003,1.23411,0.91626,0.77148,0.86343,0.57884,1.09262,0.82991,1.11453,0.001538,0.001538,0.001538
9,1759.19,1.52808,1.02712,1.23188,0.90965,0.74219,0.83828,0.55019,1.1091,0.85954,1.11284,0.001472,0.001472,0.001472
10,1955.28,1.4887,0.98475,1.21991,0.91065,0.79622,0.87124,0.59159,1.04436,0.75631,1.10352,0.001406,0.001406,0.001406
11,2150.42,1.48326,0.95811,1.21056,0.87975,0.80023,0.85171,0.58191,1.02391,0.81522,1.0954,0.00134,0.00134,0.00134
12,2344.63,1.47187,0.93539,1.2109,0.90652,0.83342,0.88416,0.61164,0.99751,0.70649,1.08033,0.001274,0.001274,0.001274
13,2538.83,1.45106,0.89828,1.19542,0.89757,0.83866,0.87821,0.60521,0.9959,0.71455,1.07869,0.001208,0.001208,0.001208
14,2732.34,1.4332,0.90242,1.18314,0.90215,0.83008,0.87427,0.59674,1.00654,0.75047,1.0796,0.001142,0.001142,0.001142
15,2925.65,1.41175,0.88583,1.18138,0.89701,0.82812,0.88756,0.62265,0.94101,0.70051,1.0582,0.001076,0.001076,0.001076
16,3118.5,1.42321,0.86492,1.19356,0.91568,0.84841,0.89599,0.64682,0.92771,0.65513,1.04838,0.00101,0.00101,0.00101
17,3311.33,1.40485,0.85768,1.16537,0.93414,0.82031,0.89842,0.64059,0.91506,0.65978,1.05631,0.000944,0.000944,0.000944
18,3499.89,1.38157,0.8339,1.15772,0.92731,0.85352,0.90237,0.63294,0.96736,0.6462,1.05355,0.000878,0.000878,0.000878
19,3690.46,1.37761,0.8145,1.16045,0.91458,0.85736,0.9092,0.66067,0.90618,0.62366,1.03859,0.000812,0.000812,0.000812
20,3881.86,1.35936,0.80554,1.15284,0.95211,0.8457,0.90705,0.65515,0.88971,0.6465,1.04876,0.000746,0.000746,0.000746
21,4068.37,1.38774,0.78659,1.16371,0.91948,0.86984,0.90659,0.64901,0.92603,0.61013,1.0336,0.00068,0.00068,0.00068
22,4262.62,1.38443,0.75654,1.17256,0.94326,0.84421,0.921,0.65993,0.90792,0.61226,1.03093,0.000614,0.000614,0.000614
23,4467.89,1.36203,0.75074,1.14891,0.9413,0.86133,0.91424,0.66353,0.87366,0.61813,1.02504,0.000548,0.000548,0.000548
24,4673.16,1.35505,0.7262,1.15351,0.9283,0.88504,0.91457,0.66748,0.89258,0.58322,1.02828,0.000482,0.000482,0.000482
25,4877.74,1.34497,0.71943,1.15171,0.93211,0.875,0.91776,0.68438,0.867,0.58597,1.01977,0.000416,0.000416,0.000416
26,5082.27,1.32937,0.70534,1.14085,0.93456,0.86328,0.90974,0.6774,0.82138,0.58272,1.01729,0.00035,0.00035,0.00035
27,5280.28,1.32,0.68614,1.13834,0.92779,0.87835,0.91809,0.67609,0.84706,0.56191,1.01055,0.000284,0.000284,0.000284
28,5477.36,1.29968,0.67905,1.12643,0.93351,0.875,0.91473,0.6882,0.81008,0.55053,1.00834,0.000218,0.000218,0.000218
29,5673.37,1.28946,0.6606,1.12412,0.936,0.88552,0.91964,0.68061,0.81983,0.54499,1.00411,0.000152,0.000152,0.000152
30,5868.68,1.27104,0.65581,1.11826,0.9422,0.8915,0.92231,0.6944,0.8059,0.53449,0.999,8.6e-05,8.6e-05,8.6e-05
